Year/Month/Date,Hour,Discharge
27/01/2017,14,3.56
27/01/2017,15,3.56
27/01/2017,16,3.56
27/01/2017,17,3.56
27/01/2017,18,3.56
27/01/2017,19,3.56
27/01/2017,20,3.56
27/01/2017,21,3.56
27/01/2017,22,3.56
27/01/2017,23,3.56
28/01/2017,0,3.56
28/01/2017,1,3.56
28/01/2017,2,3.56
28/01/2017,3,3.56
28/01/2017,4,3.56
28/01/2017,5,3.56
28/01/2017,6,3.56
28/01/2017,7,3.56
28/01/2017,8,3.56
28/01/2017,9,3.56
28/01/2017,10,3.56
28/01/2017,11,3.56
28/01/2017,12,3.56
28/01/2017,13,3.56
28/01/2017,14,3.56
28/01/2017,15,3.56
28/01/2017,16,3.56
28/01/2017,17,3.56
28/01/2017,18,3.56
28/01/2017,19,3.56
28/01/2017,20,3.56
28/01/2017,21,3.56
28/01/2017,22,3.56
28/01/2017,23,3.56
29/01/2017,0,3.56
29/01/2017,1,3.56
29/01/2017,2,3.56
29/01/2017,3,3.56
29/01/2017,4,3.56
29/01/2017,5,3.56
29/01/2017,6,3.56
29/01/2017,7,3.56
29/01/2017,8,3.56
29/01/2017,9,3.56
29/01/2017,10,3.56
29/01/2017,11,3.56
29/01/2017,12,3.56
29/01/2017,13,3.56
29/01/2017,14,3.56
29/01/2017,15,3.56
29/01/2017,16,3.56
29/01/2017,17,3.56
29/01/2017,18,3.56
29/01/2017,19,3.56
29/01/2017,20,3.56
29/01/2017,21,3.56
29/01/2017,22,3.56
29/01/2017,23,3.56
30/01/2017,0,3.56
30/01/2017,1,3.56
30/01/2017,2,3.56
30/01/2017,3,3.56
30/01/2017,4,3.56
30/01/2017,5,3.84
30/01/2017,6,3.84
30/01/2017,7,3.84
30/01/2017,8,3.84
30/01/2017,9,3.84
30/01/2017,10,3.84
30/01/2017,11,3.84
30/01/2017,12,3.84
30/01/2017,13,3.84
30/01/2017,14,3.84
30/01/2017,15,3.84
30/01/2017,16,3.84
30/01/2017,17,3.84
30/01/2017,18,3.84
30/01/2017,19,3.84
30/01/2017,20,3.84
30/01/2017,21,3.84
30/01/2017,22,3.84
30/01/2017,23,3.56
31/01/2017,0,3.56
31/01/2017,1,3.56
31/01/2017,2,3.56
31/01/2017,3,3.56
31/01/2017,4,3.56
31/01/2017,5,3.56
31/01/2017,6,3.56
31/01/2017,7,3.56
31/01/2017,8,3.56
31/01/2017,9,3.56
31/01/2017,10,3.56
31/01/2017,11,3.56
31/01/2017,12,3.56
31/01/2017,13,3.56
31/01/2017,14,3.56
31/01/2017,15,3.56
31/01/2017,16,3.56
31/01/2017,17,3.56
31/01/2017,18,3.56
31/01/2017,19,3.56
31/01/2017,20,3.56
31/01/2017,21,3.56
31/01/2017,22,3.56
31/01/2017,23,3.56
01/02/2017,0,3.56
01/02/2017,1,3.56
01/02/2017,2,3.56
01/02/2017,3,3.56
01/02/2017,4,3.56
01/02/2017,5,3.56
01/02/2017,6,3.56
01/02/2017,7,3.56
01/02/2017,8,3.56
01/02/2017,9,3.56
01/02/2017,10,3.56
01/02/2017,11,3.56
01/02/2017,12,3.56
01/02/2017,13,3.56
01/02/2017,14,3.56
01/02/2017,15,3.56
01/02/2017,16,3.56
01/02/2017,17,3.56
01/02/2017,18,3.56
01/02/2017,19,3.56
01/02/2017,20,3.56
01/02/2017,21,3.56
01/02/2017,22,3.56
01/02/2017,23,3.56
02/02/2017,0,3.56
02/02/2017,1,3.56
02/02/2017,2,3.56
02/02/2017,3,3.56
02/02/2017,4,3.56
02/02/2017,5,3.56
02/02/2017,6,3.56
02/02/2017,7,3.56
02/02/2017,8,3.56
02/02/2017,9,3.56
02/02/2017,10,3.56
02/02/2017,11,3.56
02/02/2017,12,3.56
02/02/2017,13,3.56
02/02/2017,14,3.56
02/02/2017,15,3.56
02/02/2017,16,3.56
02/02/2017,17,3.56
02/02/2017,18,3.56
02/02/2017,19,3.56
02/02/2017,20,3.56
02/02/2017,21,3.56
02/02/2017,22,3.56
02/02/2017,23,3.56
03/02/2017,0,3.56
03/02/2017,1,3.56
03/02/2017,2,3.56
03/02/2017,3,3.56
03/02/2017,4,3.56
03/02/2017,5,3.56
03/02/2017,6,3.56
03/02/2017,7,3.56
03/02/2017,8,3.56
